id;nom;hp;attaque;heal;element
1;Hu Tao;26;5;0;Feu
2;Ganyu;20;6;0;Glace
3;Raiden Shogun;24;5;0;Foudre
4;Kazuha;22;4;4;Vent
5;Zhongli;30;4;0;Pierre
6;Kokomi;24;3;8;Eau
7;Ayaka;22;6;0;Glace
8;Xiao;24;7;0;Vent
9;Yelan;26;5;0;Eau
10;Nahida;20;4;5;Nature
11;Wanderer;20;5;0;Vent
12;Neuvillette;28;5;3;Eau
13;Furina;22;4;5;Eau
14;Wriothesley;24;6;0;Glace
15;Lyney;22;6;0;Feu
16;Cyno;22;6;0;Foudre
17;Nilou;26;3;6;Eau
18;Alhaitham;22;6;0;Nature
19;Dehya;26;4;3;Feu
20;Fischl;20;5;0;Foudre
21;Nakao;25;4;0;Nature
22;H20;20;5;0;Eau
23;Riou;22;6;0;Foudre
24;Pouff;24;5;3;Feu
25;Racky;26;3;0;Pierre
26;Uniay;20;4;0;Foudre
27;Girack;25;6;0;Vent
28;Jirz;28;5;0;Vent
29;Yirok;23;4;0;Nature
30;Finat;22;6;0;Feu
31;Dora;27;4;3;Nature
32;Huons;25;4;0;Vent
33;Maru;22;5;0;Eau
34;Popis;23;6;0;Foudre
35;Burg;24;4;0;Pierre
36;Estiv;26;5;0;Feu
37;Sirene;27;6;4;Vent
38;Vyn;25;4;0;Glace
39;Yvrak;23;5;0;Pierre
40;Basos;20;6;0;Glace
